"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2024-02-27","08:12:48","Западный Казахстан","QR Code","*** Технология программирования  CS-202, CS-204","","0","2024-02-27","03:12:48",""
"2024-02-27","08:13:06","Западный Казахстан","QR Code","Малимон Никита Сергеевич (CS-202)","","0","2024-02-27","03:13:06",""
"2024-02-27","08:13:11","Западный Казахстан","QR Code","Капенов Уалихан Талгатович (CS-202)
","","0","2024-02-27","03:13:11","{""ec"":""M""}"
"2024-02-27","08:13:17","Западный Казахстан","QR Code","Абдрахманов Жандос Боранбаевич (CS-202)","","0","2024-02-27","03:13:17",""
"2024-02-27","08:13:21","Западный Казахстан","QR Code","Тукаев Фархат Газинурович (CS-202)","","0","2024-02-27","03:13:21","{""ec"":""M""}"
"2024-02-27","08:13:27","Западный Казахстан","QR Code","Fajobi Michael (CS-202)","","0","2024-02-27","03:13:27",""
"2024-02-27","08:13:43","Западный Казахстан","QR Code","Декскаймер Максим Сергеевич (CS-202)","","0","2024-02-27","03:13:43","{""ec"":""L""}"
"2024-02-27","08:13:45","Западный Казахстан","QR Code","Сорочинский Максим Евгеньевич (CS-202)","","0","2024-02-27","03:13:45","{""ec"":""L""}"
"2024-02-27","08:13:47","Западный Казахстан","QR Code","Абиев Арын Ондарбекавич (CS-202)","","0","2024-02-27","03:13:47","{""ec"":""L""}"
"2024-02-27","08:14:43","Западный Казахстан","QR Code","Золотов Богдан Сергеевич (CS-202)","","0","2024-02-27","03:14:43",""
"2024-02-27","08:14:52","Западный Казахстан","QR Code","Перевозчиков Владислав Юрьевич (CS-202)","","0","2024-02-27","03:14:52",""
"2024-02-28","13:13:37","Западный Казахстан","QR Code","*** Разработка мобильных приложений (2 семестр)","","0","2024-02-28","08:13:37",""
"2024-02-28","13:13:45","Западный Казахстан","QR Code","Рудченко Владислав Антонович
 (CS - 304)","","0","2024-02-28","08:13:45",""
"2024-02-28","13:13:55","Западный Казахстан","QR Code","Глушак Александр Александрович (CS-302)","","0","2024-02-28","08:13:55","{""ec"":""L""}"
"2024-02-28","13:13:58","Западный Казахстан","QR Code","Азанбаев Арыстан Жанатович (CS-302)","","0","2024-02-28","08:13:58",""
"2024-02-28","13:18:44","Западный Казахстан","QR Code","Рогачевских Богдан Роланович (CS-304)","","0","2024-02-28","08:18:44","{""ec"":""L""}"
"2024-03-01","08:15:23","Западный Казахстан","QR Code","*** Технология программирования  CS-202, CS-204","","0","2024-03-01","03:15:23",""
"2024-03-01","08:15:36","Западный Казахстан","QR Code","Мандрыга Александр Витальевич (CS-204)","","0","2024-03-01","03:15:36",""
"2024-03-01","08:15:40","Западный Казахстан","QR Code","Тальке Виктор Вячеславович ( CS-204 )","","0","2024-03-01","03:15:40",""
"2024-03-01","08:15:42","Западный Казахстан","QR Code","Асенов Жанибек Рымбекович (CS-204)","","0","2024-03-01","03:15:42","{""ec"":""M""}"
"2024-03-01","08:15:46","Западный Казахстан","QR Code","Шлехт Никита Андреевич (CS-204)","","0","2024-03-01","03:15:46","{""ec"":""L""}"
"2024-03-01","08:15:52","Западный Казахстан","QR Code","Тяжелова Ксения Витальевна (CS-204)","","0","2024-03-01","03:15:52",""
"2024-03-01","08:15:59","Западный Казахстан","QR Code","Байтемиров Мадиар Бейсенбаевич (CS-204)","","0","2024-03-01","03:15:59",""
"2024-03-01","08:16:03","Западный Казахстан","QR Code","Кайдаров Самат Еренгаибович (CS-204)","","0","2024-03-01","03:16:03",""
"2024-03-01","08:16:08","Западный Казахстан","QR Code","Колоколкин Максим (CS-204)","","0","2024-03-01","03:16:08",""
"2024-03-01","08:16:09","Западный Казахстан","QR Code","Шакрат Батырхан Талғатұлы (CS-204)","","0","2024-03-01","03:16:09",""
"2024-03-01","08:16:14","Западный Казахстан","QR Code","Шакиров Арсен Тулегенович (CS-204)","","0","2024-03-01","03:16:14",""
"2024-03-01","08:16:24","Западный Казахстан","QR Code","Сутжанова Асем Канатовна (CS-204)","","0","2024-03-01","03:16:24",""
"2024-03-01","08:19:30","Западный Казахстан","QR Code","Есалимов Карим Кайратович (CS-204)","","0","2024-03-01","03:19:30",""
"2024-03-01","09:10:06","Западный Казахстан","QR Code","*** PRO","","0","2024-03-01","04:10:06",""
"2024-03-01","09:13:10","Западный Казахстан","QR Code","Мандрыга Александр Витальевич (CS-204)","","0","2024-03-01","04:13:10","{""ec"":""L""}"
"2024-03-01","09:13:28","Западный Казахстан","QR Code","Шлехт Никита Андреевич (CS-204)","","0","2024-03-01","04:13:28",""
"2024-03-01","11:18:26","Западный Казахстан","QR Code","*** Разработка мобильных приложений (2 семестр)","","0","2024-03-01","06:18:26",""
"2024-03-01","11:18:54","Западный Казахстан","QR Code","Джумабеков Асылхан Асетович (CS-302)","","0","2024-03-01","06:18:54",""
"2024-03-01","11:19:03","Западный Казахстан","QR Code","Рудченко Владислав Антонович
 (CS - 304)","","0","2024-03-01","06:19:03",""
"2024-03-01","11:19:04","Западный Казахстан","QR Code","Азанбаев Арыстан Жанатович (CS-302)","","0","2024-03-01","06:19:04",""
"2024-03-04","11:59:21","Западный Казахстан","QR Code","*** Технология программирования  CS-202, CS-204","","0","2024-03-04","06:59:21",""
"2024-03-04","11:59:31","Западный Казахстан","QR Code","Шлехт Никита Андреевич (CS-204)","","0","2024-03-04","06:59:31",""
"2024-03-04","11:59:34","Западный Казахстан","QR Code","Кайдаров Самат Еренгаибович (CS-204)","","0","2024-03-04","06:59:34",""
"2024-03-04","11:59:36","Западный Казахстан","QR Code","Герасимов Александр Владимирович  (CS-204)","","0","2024-03-04","06:59:36",""
"2024-03-04","11:59:38","Западный Казахстан","QR Code","Асенов Жанибек Рымбекович (CS-204)","","0","2024-03-04","06:59:38","{""ec"":""M""}"
"2024-03-04","11:59:40","Западный Казахстан","QR Code","Шакиров Арсен Тулегенович (CS-204)","","0","2024-03-04","06:59:40",""
"2024-03-04","11:59:42","Западный Казахстан","QR Code","Шакрат Батырхан Талғатұлы (CS-204)","","0","2024-03-04","06:59:42",""
"2024-03-04","11:59:44","Западный Казахстан","QR Code","Колоколкин Максим (CS-204)","","0","2024-03-04","06:59:44","{""ec"":""M""}"
"2024-03-04","11:59:48","Западный Казахстан","QR Code","Fajobi Michael (CS-202)","","0","2024-03-04","06:59:48",""
"2024-03-04","11:59:49","Западный Казахстан","QR Code","Сорочинский Максим Евгеньевич (CS-202)","","0","2024-03-04","06:59:49","{""ec"":""L""}"
"2024-03-04","11:59:53","Западный Казахстан","QR Code","Перевозчиков Владислав Юрьевич (CS-202)","","0","2024-03-04","06:59:53",""
"2024-03-04","11:59:54","Западный Казахстан","QR Code","Мусин Даниял Канатович (CS-202)","","0","2024-03-04","06:59:54","{""ec"":""L""}"
"2024-03-04","11:59:55","Западный Казахстан","QR Code","Золотов Богдан Сергеевич (CS-202)","","0","2024-03-04","06:59:55",""
"2024-03-04","11:59:57","Западный Казахстан","QR Code","Абдрахманов Жандос Боранбаевич (CS-202)","","0","2024-03-04","06:59:57",""
"2024-03-04","12:00:00","Западный Казахстан","QR Code","Каир Богдан (CS-202)","","0","2024-03-04","07:00:00",""
"2024-03-04","12:00:01","Западный Казахстан","QR Code","Тукаев Фархат Газинурович (CS-202)","","0","2024-03-04","07:00:01","{""ec"":""M""}"
"2024-03-04","12:00:04","Западный Казахстан","QR Code","Шунгулов Алдияр ( CS-202 )","","0","2024-03-04","07:00:04",""
"2024-03-04","12:00:05","Западный Казахстан","QR Code","Абиев Арын Ондарбекавич (CS-202)","","0","2024-03-04","07:00:05","{""ec"":""L""}"
"2024-03-04","12:00:11","Западный Казахстан","QR Code","Капенов Уалихан Талгатович (CS-202)
","","0","2024-03-04","07:00:11","{""ec"":""M""}"
"2024-03-04","12:00:13","Западный Казахстан","QR Code","Мандрыга Александр Витальевич (CS-204)","","0","2024-03-04","07:00:13","{""ec"":""L""}"
"2024-03-05","09:11:44","Западный Казахстан","QR Code","*** Технология программирования  CS-202, CS-204","","0","2024-03-05","04:11:44",""
"2024-03-05","09:12:20","Западный Казахстан","QR Code","Бейсенов Амир Маратович (CS - 202)","","0","2024-03-05","04:12:20",""
"2024-03-05","09:12:22","Западный Казахстан","QR Code","Абиев Арын Ондарбекавич (CS-202)","","0","2024-03-05","04:12:22",""
"2024-03-05","09:12:24","Западный Казахстан","QR Code","Декскаймер Максим Сергеевич (CS-202)","","0","2024-03-05","04:12:24",""
"2024-03-05","09:12:27","Западный Казахстан","QR Code","Перевозчиков Владислав Юрьевич (CS-202)","","0","2024-03-05","04:12:27","{""ec"":""L""}"
"2024-03-05","09:12:31","Западный Казахстан","QR Code","Сорочинский Максим Евгеньевич (CS-202)","","0","2024-03-05","04:12:31",""
"2024-03-05","09:12:35","Западный Казахстан","QR Code","Тукаев Фархат Газинурович (CS-202)","","0","2024-03-05","04:12:35",""
"2024-03-05","09:12:43","Западный Казахстан","QR Code","Fajobi Michael (CS-202)","","0","2024-03-05","04:12:43",""
"2024-03-05","09:12:44","Западный Казахстан","QR Code","Золотов Богдан Сергеевич (CS-202)","","0","2024-03-05","04:12:44",""
"2024-03-05","09:12:49","Западный Казахстан","QR Code","Шарипов Ислам Садибекович (CS-202)","","0","2024-03-05","04:12:49",""
"2024-03-05","09:42:48","Западный Казахстан","QR Code","*** PRO","","0","2024-03-05","04:42:48",""
"2024-03-05","09:42:54","Западный Казахстан","QR Code","Тукаев Фархат Газинурович (CS-202)","","0","2024-03-05","04:42:54","{""ec"":""M""}"
"2024-03-05","10:08:16","Западный Казахстан","QR Code","*** Технология программирования  CS-202, CS-204","","0","2024-03-05","05:08:16",""
"2024-03-05","10:08:20","Западный Казахстан","QR Code","Каир Богдан (CS-202)","","0","2024-03-05","05:08:20","{""ec"":""L""}"
"2024-03-05","10:08:26","Западный Казахстан","QR Code","Капенов Уалихан Талгатович (CS-202)
","","0","2024-03-05","05:08:26","{""ec"":""M""}"
"2024-03-05","10:29:04","Западный Казахстан","QR Code","*** PRO","","0","2024-03-05","05:29:04",""
"2024-03-05","10:29:29","Западный Казахстан","QR Code","Сорочинский Максим Евгеньевич (CS-202)","","0","2024-03-05","05:29:29",""
"2024-03-06","14:14:09","Западный Казахстан","QR Code","*** Разработка мобильных приложений (2 семестр)","","0","2024-03-06","09:14:09",""
"2024-03-06","14:14:41","Западный Казахстан","QR Code","Рудченко Владислав Антонович
 (CS - 304)","","0","2024-03-06","09:14:41","{""ec"":""L""}"
"2024-03-06","14:14:43","Западный Казахстан","QR Code","Глушак Александр Александрович (CS-302)","","0","2024-03-06","09:14:43","{""ec"":""L""}"
"2024-03-06","14:14:54","Западный Казахстан","QR Code","Джумабеков Асылхан Асетович (CS-302)","","0","2024-03-06","09:14:54","{""ec"":""M""}"
"2024-03-06","14:30:11","Западный Казахстан","QR Code","Рогачевских Богдан Роланович (CS-304)","","0","2024-03-06","09:30:11","{""ec"":""L""}"
"2024-03-06","14:30:16","Западный Казахстан","QR Code","Тургазы Мади ( CS - 304 )","","0","2024-03-06","09:30:16","{""ec"":""M""}"
"2024-03-11","11:55:32","Западный Казахстан","QR Code","*** Технология программирования  CS-202, CS-204","","0","2024-03-11","06:55:32",""
"2024-03-11","11:56:02","Западный Казахстан","QR Code","Тяжелова Ксения Витальевна (CS-204)","","0","2024-03-11","06:56:02",""
"2024-03-11","11:56:03","Западный Казахстан","QR Code","Сутжанова Асем Канатовна (CS-204)","","0","2024-03-11","06:56:03",""
"2024-03-11","11:56:10","Западный Казахстан","QR Code","Шунгулов Алдияр ( CS-202 )","","0","2024-03-11","06:56:10",""
"2024-03-11","11:56:11","Западный Казахстан","QR Code","Шлехт Никита Андреевич (CS-204)","","0","2024-03-11","06:56:11","{""ec"":""L""}"
"2024-03-11","11:56:14","Западный Казахстан","QR Code","Кайдаров Самат Еренгаибович (CS-204)","","0","2024-03-11","06:56:14",""
"2024-03-11","11:56:17","Западный Казахстан","QR Code","Асенов Жанибек Рымбекович (CS-204)","","0","2024-03-11","06:56:17",""
"2024-03-11","11:56:19","Западный Казахстан","QR Code","Тальке Виктор Вячеславович ( CS-204 )","","0","2024-03-11","06:56:19",""
"2024-03-11","11:56:21","Западный Казахстан","QR Code","Тамерлан Жемет Амангельдіұлы (CS-204)","","0","2024-03-11","06:56:21",""
"2024-03-11","11:56:23","Западный Казахстан","QR Code","Герасимов Александр Владимирович  (CS-204)","","0","2024-03-11","06:56:23","{""ec"":""L""}"
"2024-03-11","11:56:25","Западный Казахстан","QR Code","Сорочинский Максим Евгеньевич (CS-202)","","0","2024-03-11","06:56:25",""
"2024-03-11","11:56:26","Западный Казахстан","QR Code","Мусин Даниял Канатович (CS-202)","","0","2024-03-11","06:56:26","{""ec"":""L""}"
"2024-03-11","11:56:29","Западный Казахстан","QR Code","Байтемиров Мадиар Бейсенбаевич (CS-204)","","0","2024-03-11","06:56:29","{""ec"":""L""}"
"2024-03-11","11:56:30","Западный Казахстан","QR Code","Колоколкин Максим (CS-204)","","0","2024-03-11","06:56:30",""
"2024-03-11","11:56:32","Западный Казахстан","QR Code","Шакрат Батырхан Талғатұлы (CS-204)","","0","2024-03-11","06:56:32","{""ec"":""M""}"
"2024-03-11","11:56:34","Западный Казахстан","QR Code","Перевозчиков Владислав Юрьевич (CS-202)","","0","2024-03-11","06:56:34","{""ec"":""L""}"
"2024-03-11","11:56:38","Западный Казахстан","QR Code","Fajobi Michael (CS-202)","","0","2024-03-11","06:56:38","{""ec"":""M""}"
"2024-03-11","11:56:41","Западный Казахстан","QR Code","Каир Богдан (CS-202)","","0","2024-03-11","06:56:41",""
"2024-03-11","11:56:42","Западный Казахстан","QR Code","Абдрахманов Жандос Боранбаевич (CS-202)","","0","2024-03-11","06:56:42",""
"2024-03-11","11:56:49","Западный Казахстан","QR Code","Есалимов Карим Кайратович (CS-204)","","0","2024-03-11","06:56:49",""
"2024-03-11","11:56:51","Западный Казахстан","QR Code","Шакиров Арсен Тулегенович (CS-204)","","0","2024-03-11","06:56:51","{""ec"":""L""}"
"2024-03-11","11:56:53","Западный Казахстан","QR Code","Кирпанёв Даниил Андреевич (CS-202)","","0","2024-03-11","06:56:53","{""ec"":""M""}"
"2024-03-11","11:56:55","Западный Казахстан","QR Code","Абиев Арын Ондарбекавич (CS-202)","","0","2024-03-11","06:56:55",""
"2024-03-11","11:56:59","Западный Казахстан","QR Code","Малимон Никита Сергеевич (CS-202)","","0","2024-03-11","06:56:59",""
"2024-03-11","11:57:00","Западный Казахстан","QR Code","Декскаймер Максим Сергеевич (CS-202)","","0","2024-03-11","06:57:00",""
"2024-03-11","11:57:04","Западный Казахстан","QR Code","Тукаев Фархат Газинурович (CS-202)","","0","2024-03-11","06:57:04",""
"2024-03-11","11:57:08","Западный Казахстан","QR Code","Капенов Уалихан Талгатович (CS-202)
","","0","2024-03-11","06:57:08",""
